global_rank,run_rank,score,idea_name,idea_id,market,target_user,run_id,run_date,idea_slug,core_loop,evidence_summary,cost_profile,backend_required,backend_notes,external_api_required,external_api_list,external_api_cost_risk,ai_required,ai_usage_notes,data_sensitivity,mvp_complexity,build_effort_estimate,ops_cost_estimate,review_risk,reason_to_build_now,reason_to_skip
129,6,7.3,PersonalWiki,offline_wiki_006,Offline knowledge management,Knowledge workers tired of cloud-dependent note apps who want reliable offline access to their information,diversified-signals-2026-01-07-run,2026-01-07,personalwiki,Add pages for topics → Link related pages simply → Search all content offline → Information always accessible,Chrome Extension reviews wanting offline knowledge tools and YouTube comments about app dependency fatigue,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
130,7,7.3,TripEase,tripease_007,"['Last-minute', 'travel', 'assistant']",Spontaneous travelers and business travelers who often pack at the last minute and forget important items,batch-specs-170756,2026-01-07,tripease,"Enter departure time and destination, Get instant essential items checklist, Receive location-based reminders...","Travel comments show 'wait until last minute to pack, total NIGHTMARE', 'left important things at home'...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
131,9,7.3,CreateFlow,createflow_006,Distraction-free creative workspace that blocks so...,Digital creators who struggle to maintain creative focus due to social media interruptions and algorithmic pressure,batch-specs-201327,2026-01-07,createflow,Start focused creative session → Work in distraction-free environment → Save work without sharing pressure → ...,Creative platform reviews emphasize need for authentic expression tools that aren't subject to algor...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
132,9,7.3,MeetingZone,meetingzone_008,Smart meeting scheduler that finds optimal time sl...,Small team leaders and remote workers who struggle to find meeting times that work across different time zones,batch-specs-210945,2026-01-07,meetingzone,Input team member locations → Find overlapping work hours → Suggest optimal meeting times → ...,Remote work coordination shows users need 'one window of overlapping times where most employees can ...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
133,9,7.3,PrivacyTools,privacytools_010,Audit tool that analyzes installed apps' permissio...,Privacy-conscious users who want to understand and minimize the data exposure from their installed apps,batch-specs-204537,2026-01-07,privacytools,Scan installed apps for permissions → Get privacy risk assessment → Discover minimal-permission alternatives → ...,Privacy research shows users concerned about 'permission abuse' and apps that 'collect and sell larg...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
134,10,7.3,Travel Essentials,travel_essentials_010,"['Infrequent', 'travelers', 'who', 'want', 'to', 'ensure', 'they', ""don't""]",Infrequent travelers who want to ensure they don't forget important items without complex trip planning features,batch-specs-160132-meadow-spark,2026-01-07,travel_essentials,"Select trip type (business, leisure, international, domestic)",Travel apps 'overwhelm' users who want 'streamlined' tools that 'focus on essential' information wit...,client_only,False,,False,,low,none,,low,S,8h,low,low,Strong market signal with clear user demand,Market validation needed
135,8,7.2,Call Script,call_script_006,Personal Admin,Adults with phone anxiety for administrative calls,batch-specs-171643-prism-delta,2026-01-08,call_script,Select call type → Get script → Take notes → Save outcomes,Users overwhelmed by bureaucratic tasks seek admin simplification,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
136,8,7.2,CameraLingo,offline_translate_005,Offline camera text translator with local language packs,Travelers and international students who need reliable translation without data costs,factory-094718,2026-01-08,cameralingo,Download language pack once → Point camera at text → Tap to translate specific sections → Save translations for later reference,Google Translate users frustrated: 'automatically blocks out the original texts' and other apps 'make you upgrade after ONE translation'. Need for reliable offline camera translation.,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
137,5,7.2,Trip Stack,trip_stack_005,"['Casual', 'travelers', 'who', 'want', 'basic', 'trip', 'organization']",Casual travelers who want basic trip organization without complex itinerary features or social sharing,batch-specs-160132-meadow-spark,2026-01-07,trip_stack,"Add trip items to stack (flight, hotel, activity, packing item)",Popular travel apps are 'overwhelming due to complexity' while users prefer 'streamlined format' and...,client_only,False,,False,,low,none,,low,S,8h,low,low,Strong market signal with clear user demand,Market validation needed
138,7,7.2,Creative Context Notes,creative_context_notes_007,Creative professionals,Creative professionals who work on multiple projects and need to capture and connect inspiration across different contexts,app_factory_112152,2026-01-07,creative_context_notes,"Capture notes with automatic project context → Connect ideas across different creative projects → Search by project, mood, or inspiration type → Rediscover forgotten ideas when relevant",Creative productivity analysis shows value in 'bringing documents and tasks together' and need for creative-specific organizational tools.,client_only,False,,False,,low,none,,low,M,8h,low,low,Addresses specific user pain point with clear evidence,Lower validation score suggests market validation needed
139,8,7.2,RestRhythm,microbreak_coach_008,Intelligent micro-break coaching,Desk workers and remote professionals who skip breaks and experience burnout from continuous work,market-batch-2026-01-07-run,2026-01-07,restrhythm,Monitor work intensity patterns → Suggest personalized micro-breaks → Track recovery effectiveness → Optimize break timing and content,Users need: 'Reminders to take breaks that aren't annoying' and 'micro-recovery that fits into busy schedules',unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
140,8,7.2,OfflineAdventure,offlineadventure_008,Diversified consumer life domains,Digital wellness enthusiasts who want to reduce screen time but need motivation and structure for offline activities,batch-specs-213456,2026-01-07,offlineadventure,Choose offline activity categories to explore → Complete activities and earn achievement badges → Track offline time and activity completion,Digital detox research shows users seeking '200 activities to do instead of being on your phone' wit...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
141,10,7.2,GuideMe,guideme_009,Step-by-step video guidance app for older adults l...,"Older adults who feel anxious about technology and need patient, clear guidance for basic smartphone functions",batch-specs-201327,2026-01-07,guideme,Choose task from simple menu → Watch step-by-step video guide → Practice with gentle prompts → ...,Senior app research shows older users prefer 'video tutorials' over written instructions with need f...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
142,10,7.2,MemeStash,memestash_005,Personal meme and reaction image organizer with sm...,Heavy social media users who collect memes and reaction images but struggle to find and organize them effectively,batch-specs-204537,2026-01-07,memestash,Save memes from various sources → Auto-tag with AI recognition → Quick search by mood/context → ...,"Content management studies show 'content scattered across departments, platforms and authoring tools...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
143,7,7.1,Word Daily,word_daily_007,Learning practice companions,Vocabulary learners wanting simple daily word practice,batch-specs-010721-3472,2026-01-08T05:21:07Z,word_daily,Get daily word → learn definition → practice in context → mark learned,Learning apps criticized for complex setup vs apps that just open and start,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
144,7,7.1,Sketch Snap,sketch_snap_007,Creative output tracking,Visual artists who want to capture daily sketching progress,batch-specs-010718-5233,2026-01-08T02:07:18Z,sketch_snap,Take photo of todays sketch → add to visual timeline → see progress over time,Creative professionals want tools focused on creative work not admin,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
145,2,7.1,MemeCache,memecache_002,"['Visual', 'meme', 'organization']",Active social media users who save hundreds of memes but struggle to find the right one when needed,batch-specs-170756,2026-01-07,memecache,"Save memes from any app/browser, Auto-categorize by mood, topic, format, Search by text, emotion, or visual similarity...",Digital organization research shows users struggle with 'too messy' photo libraries and 'can't find' specific content when needed...,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
146,6,7.1,Simple Habit Dots,simple_habit_dots_006,People who want,People who want visual habit tracking without subscription limitations or complex goal-setting features,app_factory_110218,2026-01-07,simple_habit_dots,Add habit with chosen color → Tap dot to mark completion → View visual calendar pattern → Celebrate streak milestones,Users frustrated by 'artificial limits' in free versions and 'hitting roadblock' with feature restrictions,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
147,7,7.1,CreativePulse,creativepulse_007,"['Simple', 'creative', 'energy']",Independent creatives who struggle with inconsistent output and want to understand their creative energy patterns,batch-specs-201250,2026-01-07,creativepulse,"Daily creative energy check-in, Log creative work completed, Track energy vs. output patterns...","Creative analysis: 'when creatives burn out unnoticed, you're paying for tired, ineffective output' and momentum tracking issues...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
148,7,7.1,EnergyLog,energy_tracker_007,Personal energy management,People who want to understand their energy patterns without complex health tracking or biometric integration,diversified-signals-2026-01-07-run,2026-01-07,energylog,Rate morning energy level → Log major energy drains/gains → See weekly energy patterns → Adjust schedule based on patterns,YouTube comments about energy management and Reddit confirmation of daily energy pattern interest,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
149,10,7.1,PermissionCheck,permissioncheck_009,App permission auditor that helps users understand...,Privacy-aware users who install many apps but struggle to monitor and control permission requests over time,batch-specs-210945,2026-01-07,permissioncheck,Scan installed app permissions → Highlight unnecessary requests → Suggest permission changes → ...,"Privacy studies show users need tools to 'regularly delete unnecessary apps, revoke excessive privac...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
150,9,7.0,Creative Trace,creative_trace_007,Creative Workflows,Artists wanting creative time awareness without project management,batch-specs-171643-prism-delta,2026-01-08,creative_trace,Start timer → Stop timer → View patterns → Celebrate streaks,Creatives need momentum tools without complex processes,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
151,9,7.0,StarChart,kids_reward_008,Simple digital star chart for kids with minimal setup,Parents of children ages 3-8 who want simple behavior tracking,factory-094718,2026-01-08,starchart,Set simple daily tasks → Tap to give stars immediately → Watch visual progress bar fill → Celebrate weekly achievements,"Parents say reward chart apps 'require a time-consuming set-up, and parents tend to quit halfway through'. Need apps that are 'easy to use' without overwhelming features.",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
152,7,7.0,Pocket Portfolio,pocket_portfolio_007,"['Visual', 'artists', 'who', 'need', 'to', 'show', 'their', 'work', 'during']","Visual artists who need to show their work during in-person meetings, markets, or casual conversations",batch-specs-160132-meadow-spark,2026-01-07,pocket_portfolio,Upload artwork with one-sentence descriptions,Portfolio sites have 'limited customization' and 'lack features' while requiring expensive plans for...,client_only,False,,False,,low,none,,low,S,8h,low,low,Strong market signal with clear user demand,Market validation needed
153,8,7.0,Gentle Accountability,gentle_accountability_008,People,People who benefit from accountability but find traditional systems too pressured or shame-inducing,app_factory_112152,2026-01-07,gentle_accountability,Set personal goals with flexible accountability → Share progress in supportive community environment → Give and receive gentle encouragement → Celebrate all forms of progress without comparison,Research shows value of 'community accountability with daily progress tracking' but many struggle with pressure and judgment in traditional systems.,light_backend,True,Community features require user interaction and data sharing,False,,low,none,,low,M,8h,medium,low,Addresses specific user pain point with clear evidence,Lower validation score suggests market validation needed
154,9,7.0,AnchorPoints,routine_stabilizer_009,Flexible routine management,People with variable schedules who want routine benefits without rigidity that breaks under life pressure,market-batch-2026-01-07-run,2026-01-07,anchorpoints,Define essential routine anchors → Track routine adherence vs disruptions → Adapt routines to changing circumstances → Maintain core stability through change,Users struggle with: 'My routine falls apart constantly' and 'need something that adapts when life gets chaotic',unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
155,10,6.9,Travel Essential,travel_essential_009,Travel,Occasional travelers wanting simple trip preparation,batch-specs-171643-prism-delta,2026-01-08,travel_essential,Enter destination → Get packing list → Check off items → Departure reminder,"Travel planning described as daunting, users want simple alternatives",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
156,8,6.9,Link Save,link_save_008,Personal data organization,Users who save links but never organize or find them later,batch-specs-010721-3472,2026-01-08T05:21:07Z,link_save,Save link → auto-categorize by content → search when needed → find quickly,Users prefer super bare bones apps over complex organization systems,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
157,8,6.9,Large Text,large_text_008,Accessibility-friendly utilities,Users with vision difficulties needing text magnification,batch-specs-010718-5233,2026-01-08T02:07:18Z,large_text,Point camera at text → see enlarged text instantly → read comfortably,Accessibility apps often become barriers due to complexity,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
158,8,6.9,ChoiceSimple,decision_helper_008,Decision support tools,Decision-fatigued individuals who want structured thinking tools without AI or complex analysis,diversified-signals-2026-01-07-run,2026-01-07,choicesimple,Enter decision to make → List pros and cons simply → Rate importance of each factor → See visual summary to clarify thinking,Twitter replies about decision fatigue and YouTube comments about daily choice overload,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
159,8,6.9,MemoMood,memomood_008,"['Emotion-based', 'memory', 'organizer']",People who save inspiring content but struggle to find the right piece when they need emotional support or motivation,batch-specs-170756,2026-01-07,memomood,"Save content with emotion tags, Browse by mood or feeling, Search for content by emotional need...","Digital content organization shows users can't find specific content when needed, especially contextual/emotional content...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
160,10,6.8,QuickSounds,meme_soundboard_006,Ad-free meme soundboard with guaranteed playback,Social media users and gamers who want quick access to meme sounds,factory-094718,2026-01-08,quicksounds,Browse sound categories → Tap for instant playback → Favorite frequently used sounds → Share sounds to social apps,Soundboard users hate 'pop ups every 5 seconds' and 'TWO 15-30 second ads that you can't skip'. Want simple soundboards where 'not a single one of them would play anything' is fixed.,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
161,4,6.8,PosturePal,posturepal_004,"['Smart', 'posture', 'coaching']",Office workers with back/neck pain who find existing posture apps too intrusive or inaccurate,batch-specs-170756,2026-01-07,posturepal,"Set up comfortable baseline posture, Receive gentle vibration when slouching detected, Track posture improvement over time...","Posture app reviews cite 'very sensitive default settings' causing 'false alerts for eating', users want solutions that are 'less annoying'...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
162,9,6.8,Daily Wins Log,daily_wins_log_009,"['People', 'seeking', 'simple', 'daily', 'positivity', 'practices', 'w']",People seeking simple daily positivity practices without complex journaling or meditation apps,batch-specs-160132-meadow-spark,2026-01-07,daily_wins_log,Daily notification asks: What went well today?,Users want 'beginner-friendly' alternatives to complex apps that 'don't require programming or a lot...,client_only,False,,False,,low,none,,low,S,8h,low,low,Strong market signal with clear user demand,Market validation needed
163,10,6.8,AttentionLab,focus_physics_010,Personalized attention training,Neurodivergent individuals and those with attention challenges who don't fit standard focus app approaches,market-batch-2026-01-07-run,2026-01-07,attentionlab,Assess individual attention patterns → Try different focus techniques → Track effectiveness by cognitive type → Personalize attention training program,Users frustrated: 'Focus apps are one-size-fits-all' and 'need something that understands my ADHD/attention patterns',unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
164,9,6.7,Group Split,group_split_009,Social coordination helpers,Friends who need simple bill splitting without complex expense tracking,batch-specs-010721-3472,2026-01-08T05:21:07Z,group_split,Enter total amount → select who pays → see individual amounts → send payment info,Social coordination apps need to reduce mental load with simple interfaces,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
165,9,6.7,Travel Weather,travel_weather_009,Travel preparation helpers,Travelers who pack wrong clothes for destination weather,batch-specs-010718-5233,2026-01-08T02:07:18Z,travel_weather,Enter destination and dates → see weather-based clothing suggestions → pack appropriately,Travel apps suffer from cluttered overwhelming feature sets,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
166,9,6.7,GentleBreaks,screen_break_009,Wellness break reminders,Screen workers who want break awareness but find existing apps too aggressive or shame-inducing,diversified-signals-2026-01-07-run,2026-01-07,gentlebreaks,Set gentle reminder preferences → Receive subtle break suggestions → Choose to take break or dismiss → No tracking or guilt for skipping,Chrome Extension reviews wanting less aggressive break reminders and YouTube comments about notification fatigue,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
167,10,6.5,Water Track,water_track_010,Wellness habit formation,Users wanting simple water intake tracking without wellness app complexity,batch-specs-010721-3472,2026-01-08T05:21:07Z,water_track,Tap to log water → see daily progress → get gentle reminders → track streak,Habit tracking apps praised for being simple enough for quick daily check-ins,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
168,10,6.5,App Pause,app_pause_010,Mindful digital habits,Users who want to break autopilot app opening habits,batch-specs-010718-5233,2026-01-08T02:07:18Z,app_pause,Select distracting apps → app creates pause when opening → moment to reconsider → choose intentionally,Apps like One Sec popular for breaking autopilot scrolling habits,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
169,10,6.5,MoodDots,mood_dot_010,Simple mood awareness,People interested in mood awareness who find dedicated mental health apps too clinical or complex,diversified-signals-2026-01-07-run,2026-01-07,mooddots,Tap daily mood color → See mood pattern calendar → Notice trends visually → Optional brief note about day,App Store reviews wanting simpler mood tracking and YouTube comments about mental health app complexity,unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
170,10,6.5,SitSmart,sitsmart_010,"['Phone-based', 'posture', 'trainer']",Remote workers with non-standard desk setups who can't use traditional posture apps due to camera positioning,batch-specs-170756,2026-01-07,sitsmart,"Calibrate app to your specific desk setup, Get posture feedback adapted to your camera angle, Receive gentle correction prompts...","Posture app complaints of 'camera doesn't face me directly', 'only see front view', need solutions for varied office setups...",unknown,False,,False,,low,none,,low,M,8h,low,low,Strong market signal with clear user demand,Market validation needed
